Bladnoch	18	Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch 2001
Glen Scotia	18	Glen Scotia ; Glen Scotia ; Glen Scotia ; Glen Scotia ; Glen Scotia ; Glen Scotia Harbour
Laphroaig	18	Laphroaig ; Laphroaig ; Laphroaig ; Laphroaig ; Laphroaig ; Laphroaig PX
Royal Salute	18	Royal Salute ; Royal Salute ; Royal Salute ; Royal Salute ; Royal Salute ; Royal Salute Miami Polo
Bowmore	17	Bowmore ; Bowmore ; Bowmore ; Bowmore ; Bowmore ; Bowmore
Isle of Jura	17	Jura ; Jura ; Jura ; Isle of Jura ; Isle of Jura ; Isle of Jura
Kavalan	17	Kavalan ; Kavalan Lan ; Kavalan 2016 ; Kavalan 2017 ; Kavalan Podium ; Kavalan Classic
Mars	17	Mars IWAI ; Mars Cosmo ; Mars Kasei ; Mars Tsunuki ; Mars The Y.A #1 ; Mars Maltage Cosmo
Cutty Sark	16	Cutty Sark ; Cutty Sark ; Cutty Sark ; Cutty Sark ; Cutty Sark ; Cutty Sark
Glendronach	16	Glendronach ; Glendronach ; Glendronach ; Glendronach Forgue ; GlenDronach Peated ; Glendronach Parliament
Glengoyne	16	Glengoyne ; Glengoyne ; Glengoyne ; Glengoyne ; Glengoyne ; Glengoyne
Glen Grant	16	Glen Grant ; Glen Grant ; Glen Grant ; Glen Grant ; Glen Grant ; Glen Grant
Teeling	15	Teeling ; Teeling ; Teeling Amber Ale ; Teeling Blackpitts ; Teeling Stout Cask ; Teeling Belgian Ale
Tomintoul	15	Tomintoul ; Tomintoul ; Tomintoul ; Tomintoul Peaty ; Tomintoul Oloroso ; Monologue Tomintoul
Caol Ila	14	Caol Ila ; Caol Ila ; Caol Ila ; Caol Ila ; Caol Ila Moch ; Caol Ila White Porto
Label 5	14	Label 5 ; Label 5 ; Label 5 ; Label 5 Classic Black ; Label 5 Classic Black ; Label 5 Classic Black
The Glenlivet	14	The Glenlivet ; The Glenlivet ; The Glenlivet ; The Glenlivet ; The Glenlivet ; The Glenlivet
The Lost Distillery	14	The Lost Lossit ; The Lost Jericho ; The Lost Dalaruan ; The Lost Towiemore ; The Lost Stratheden ; The Lost Distillery Stratheden
Wemyss Malts	14	The Hive Wemyss Malts ; The Hive Wemyss Malts ; The Hive Wemyss Malts ; Wemyss Malts The Hive ; Wemyss Malts The Hive ; Spice King Wemyss Malts
Akashi	13	Akashi ; Akashi Red ; Akashi Meisei ; Akashi Sherry ; Akashi Sherry ; Akashi Red Wine
Amrut	13	Amrut ; Amrut Fusion ; Amrut Peated ; Amrut Kadhambam ; Amrut Portonova ; Amrut Raj Igala
Artist	13	Ardmore ; Karuizawa Artist #13 1999 ; Artist Caol Ila Artist #10 ; Artist Macallan Artist #14 ; Artist Bowmore Artist #12 2001 ; Artist Linkwood Artist #15 1995
